Name,Template,Datastore Path,Guest,Instance UUID,Bios UUID,Annotation,State,VMware-tools,IP,Question,VM Path,Tenant
ocp-deployment-host,False,[datastore2 (1)] ocp-deployment-host/ocp-deployment-host.vmx,Red Hat Enterprise Linux 7 (64-bit),50125075-97a5-9e95-75f4-21e8c90be092,42129c86-8d50-4d4e-c87b-5e8f18003994,,poweredOn,toolsOk,172.22.6.28,,Datacenters/CustomerSuccess/vm/RHOCP,False,False,False,True,,Domain/Project
vCLS-91938eb4-5aa5-49af-ab9c-5f7e5be671da,False,[datastore2 (1)] vCLS-91938eb4-5aa5-49af-ab9c-5f7e5be671da/vCLS-91938eb4-5aa5-49af-ab9c-5f7e5be671da.vmx,Other 3.x or later Linux (64-bit),501206eb-4cf6-838b-5998-eea4b9c823de,4212e9eb-306a-1d62-70d3-6f5f10496d3f,"vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.",poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm/vCLS,False,False,False,True,,Domain/Project
k8s-worker-1,False,[datastore2 (1)] k8s-worker-1/k8s-worker-1.vmx,Ubuntu Linux (64-bit),50126e4b-af79-b1a4-ba19-256af5b807eb,4212f892-f34c-64b1-f644-60945a72cdae,,poweredOn,toolsOk,172.22.6.54,,Datacenters/CustomerSuccess/vm,False,False,True,True,,Domain/Project
JujuCompute3,False,[datastore1 (1)] JujuCompute3/JujuCompute3.vmx,Ubuntu Linux (64-bit),50129107-3469-f757-c29e-734a26e991ad,421265b9-a8b5-96b0-8ee4-b5b5eb943f53,,poweredOn,toolsOk,172.22.4.6,,Datacenters/CustomerSuccess/vm/Canonical,False,False,True,True,,Domain/Project
openstack-ansible-2-controller,False,[datastore1] openstack-ansible-2-controller/openstack-ansible-2-controller.vmx,Ubuntu Linux (64-bit),5012d824-431d-03c0-23ea-58b2ead249f3,42125967-984b-6820-00cd-e81241bf6be3,,poweredOn,toolsOk,172.22.8.6,,Datacenters/CustomerSuccess/vm/OSA,False,False,False,True,,Domain/Project
osa2-compute-1,False,[datastore1] osa2-compute-1/osa2-compute-1.vmx,Ubuntu Linux (64-bit),50124684-e501-e2c5-d949-887c4a10bb9b,4212c255-910e-f275-1cde-b6322608b15f,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,True,True,,Domain/Project
rancher-k8s-master1,False,[datastore2] rancher-k8s-master1/rancher-k8s-master1.vmx,Ubuntu Linux (64-bit),5012f754-be5c-b9f1-6de4-95a582ca6379,421271e1-2f8e-0fc6-69be-f589cf1335aa,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
4-vcpu-8GB-RAM-100-GB-Storage-Centos7,True,[datastore1] 4-vcpu-8GB-RAM-100-GB-Storage-Centos7/4-vcpu-8GB-RAM-100-GB-Storage-Centos7.vmtx,CentOS 7 (64-bit),50126de2-a731-2a19-d87c-91b67e27b9a9,4212621a-ce0e-044c-7989-fb88e259e915,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
kubeadm2-worker-1,False,[datastore2] kubeadm2-worker-1/kubeadm2-worker-1.vmx,Ubuntu Linux (64-bit),501273af-8c97-f2d7-107a-3d7ac341150b,4212bbbd-649b-d5fe-6cca-da4bf14c7d37,,poweredOn,toolsOk,172.22.1.12,,Datacenters/CustomerSuccess/vm/Kubeadm,False,False,False,True,,Domain/Project
ceph-node2,False,[datastore3] ceph-node2/ceph-node2.vmx,CentOS 7 (64-bit),50120174-7d6b-d63b-e919-dab4d7a48c62,42124f72-f03f-01a2-1a69-63ba1cc3b601,,poweredOn,toolsOk,172.22.5.83,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
kolla-ansible-compute-2,False,[datastore1] kolla-ansible-compute-2/kolla-ansible-compute-2.vmx,Ubuntu Linux (64-bit),501214b3-d4b3-4419-eec9-e274e1230e5a,4212dc50-4bbf-8f1a-6d1d-7c9e70624484,,poweredOn,toolsOk,172.22.8.5,,Datacenters/CustomerSuccess/vm/Kolla,False,False,True,True,,Domain/Project
openstack-ansible-2-compute,False,[datastore1] openstack-ansible-2-compute/openstack-ansible-2-compute.vmx,Ubuntu Linux (64-bit),50124bff-eee8-a6dd-2572-8867b0b681f8,4212f8ec-94de-835b-11f1-904c6120a210,,poweredOn,toolsOk,172.22.8.7,,Datacenters/CustomerSuccess/vm/OSA,False,False,True,True,,Domain/Project
openstack-ansible,False,[datastore1] ununtu1804/ununtu1804.vmx,Ubuntu Linux (64-bit),50121b7a-30a4-ddb9-5863-89b6882f98f3,4212a3cf-afe3-1ea0-9918-1b94c3b070eb,,poweredOn,toolsOk,172.22.8.2,,Datacenters/CustomerSuccess/vm/OSA,False,False,False,True,,Domain/Project
kolla-compute-1-bobcat,False,[datastore1] kolla-compute-1-bobcat/kolla-compute-1-bobcat.vmx,Ubuntu Linux (64-bit),5012ae42-77be-02ea-7157-e4c95599d1ca,42129b1d-7a52-3b95-d378-29bcaa7d25a5,,poweredOn,toolsOk,172.22.8.201,,Datacenters/CustomerSuccess/vm/Kolla,False,False,False,True,,Domain/Project
rancher-k8s-worker1,False,[datastore2] rancher-k8s-worker1/rancher-k8s-worker1.vmx,Ubuntu Linux (64-bit),501283dc-8644-5eea-ab54-6c303b3683ee,4212013d-3801-c764-80a1-0db6753c7950,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
docker-registry,False,[datastore2] docker-registry/docker-registry.vmx,Ubuntu Linux (64-bit),5012d63e-51ef-b256-0140-a327f4d27760,42121a2e-e6b2-f236-c105-ee785e290be2,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
ceph-node1,False,[datastore3] ceph-node1/ceph-node1.vmx,CentOS 7 (64-bit),50129585-4006-f053-17ef-1dcc02a74d95,4212aa74-8fe8-881a-f95a-bb85c1da4886,,poweredOn,toolsOk,172.22.5.82,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
ceph-node3,False,[datastore3] ceph-node3/ceph-node3.vmx,CentOS 7 (64-bit),50123447-aa8f-45ee-330d-cc056061fd6c,421214ed-fe96-cacd-48cc-e143795bc838,,poweredOn,toolsOk,172.22.5.84,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
kubeadm2-master,False,[datastore2] kubeadm2-master/kubeadm2-master.vmx,Ubuntu Linux (64-bit),50127a30-13fa-383b-a567-a57fd7fb6180,421250ef-22ad-d171-f915-5d983791e71c,,poweredOn,toolsOk,172.22.1.11,,Datacenters/CustomerSuccess/vm/Kubeadm,False,False,False,True,,Domain/Project
rancher-server,False,[datastore2] rancher-server/rancher-server.vmx,Ubuntu Linux (64-bit),5012476d-e1cb-50a3-5a10-a86ac3a6cb57,421269ca-1572-7de1-5689-1cbdecb3857c,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
kolla-controller-bobcat,False,[datastore1] kolla-controller-bobcat/kolla-controller-bobcat.vmx,Ubuntu Linux (64-bit),50127836-74cf-1bb4-6974-cb6418f6f726,42126e75-72da-56b8-e3b1-0b7eb04afc04,,poweredOn,toolsOk,172.22.8.200,,Datacenters/CustomerSuccess/vm/Kolla,False,False,False,True,,Domain/Project
kubeadm-worker-2,False,[datastore2] kubeadm-worker-2/kubeadm-worker-2.vmx,Ubuntu Linux (64-bit),5012d5e2-531f-a11d-4a48-ed1e1db00486,421212c4-dc8f-24f8-4b19-dce5c43828d8,,poweredOn,toolsOk,172.22.1.3,,Datacenters/CustomerSuccess/vm/Kubeadm,False,False,False,True,,Domain/Project
KVM,False,[datastore2] KVM/KVM.vmx,CentOS 7 (64-bit),527ca8c4-4a70-3a29-cf5c-665515ea1e00,564de499-8cf0-37ef-ce95-60fb9a889969,,poweredOn,toolsOk,fe80::fc54:ff:fe10:97fb,,Datacenters/CustomerSuccess/vm,False,False,True,True,,Domain/Project
kubeadm2-worker-2,False,[datastore2] kubeadm2-worker-2/kubeadm2-worker-2.vmx,Ubuntu Linux (64-bit),5012736a-fa88-a5f9-d28e-633593c5a4f5,42129ce9-587d-f193-634e-9ee61ff0dc01,,poweredOn,toolsOk,172.22.1.13,,Datacenters/CustomerSuccess/vm/Kubeadm,False,False,False,True,,Domain/Project
8-CPU-16GB-RAM-Disk1-150GB-Disk2-200GB,True,[datastore1] 8-CPU-16GB-RAM-Disk1-150GB-Disk2-200GB/8-CPU-16GB-RAM-Disk1-150GB-Disk2-200GB.vmtx,CentOS 7 (64-bit),50129456-464a-9f52-2c9d-7a2ecb381e24,4212478e-dd78-2266-7c2e-d1ddbd4a24e6,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
Target_NFS,False,[datastore2] Target_NFS/Target_NFS.vmx,CentOS 7 (64-bit),525774d2-d386-ac67-a2ae-623766320d6c,564da917-fa4c-425f-e878-a2ba50f4722d,,poweredOn,toolsOk,172.22.0.5,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
PFsense,False,[datastore2] PFsense/PFsense.vmx,FreeBSD Pre-11 versions (64-bit),5238129c-3ca6-79ce-5e15-8d9696118e4a,564d2858-1102-eb44-69c2-fd46677a1fca,,poweredOn,toolsNotInstalled,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
ceph-admin-node,False,[datastore3] ceph-admin-node/ceph-admin-node.vmx,CentOS 7 (64-bit),50127bd3-4f0c-50df-1912-c72ea062846d,4212f4fa-3c06-d24d-e0bf-355d06ed3133,,poweredOn,toolsOk,172.22.5.81,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
kolla-ansible-compute-1,False,[datastore1] kolla-ansible-compute-1_1/kolla-ansible-compute-1.vmx,Ubuntu Linux (64-bit),5012a437-31db-754b-8554-eaa5e90441b7,4212b694-b731-fa11-cd0b-72e6be1986b5,,poweredOn,toolsOk,172.22.8.4,,Datacenters/CustomerSuccess/vm/Kolla,False,False,True,True,,Domain/Project
Rancher,False,[datastore1] Rancher/Rancher.vmx,Ubuntu Linux (64-bit),50120c0e-beed-ff55-97ef-9787d0008e32,42122f84-1650-45ad-2465-71970970d2f8,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
k8s-worker-3,False,[datastore2] k8s-worker-3/k8s-worker-3.vmx,Ubuntu Linux (64-bit),5012c74e-fcdf-bcbb-160b-7bde9a24c252,4212fc14-11cd-cdbd-6260-21266c4bb7f9,,poweredOn,toolsOk,172.22.6.56,,Datacenters/CustomerSuccess/vm,False,False,True,True,,Domain/Project
CephCS_0.3,False,[datastore1] CephCS_0.3/CephCS_0.3.vmx,CentOS 8 (64-bit),52b722c0-a8b6-ca08-df69-21f9fdda6868,564d1138-2cad-5946-b15a-7fe3966ac9e6,,poweredOn,toolsOk,172.22.0.3,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
Landingvm,False,[datastore2] Landingvm/Landingvm.vmx,Microsoft Windows 10 (64-bit),52d359a1-b5c7-1f15-2cc6-033bc85b58d8,564d62c0-43e3-be56-6ac1-140ba203951f,,poweredOn,toolsOk,172.22.0.2,,Datacenters/CustomerSuccess/vm,True,False,True,True,,Domain/Project
rancher-k8s-worker2,False,[datastore2] rancher-k8s-worker2/rancher-k8s-worker2.vmx,Ubuntu Linux (64-bit),50121110-7bcd-9ef4-ba2f-ea06adbf0fe7,4212c6f7-fe67-fac4-ebc3-93b4bfabf125,,poweredOff,toolsNotRunning,,,Datacenters/CustomerSuccess/vm,False,False,False,True,,Domain/Project
kolla-ansible-controller,False,[datastore1] kolla-ansible-controller/kolla-ansible-controller.vmx,Ubuntu Linux (64-bit),50125080-fea9-5a1e-d7f7-2bc1386e2013,421262ff-889f-f453-49fe-6634ed9ee2f1,,poweredOn,toolsOk,172.22.8.3,,Datacenters/CustomerSuccess/vm/Kolla,False,False,False,True,,Domain/Project
kubeadm-worker-1,False,[datastore2] kubeadm-worker-1/kubeadm-worker-1.vmx,Ubuntu Linux (64-bit),50124e4c-b570-f9fd-7ac7-5bc236397aba,42126dd4-8e93-8f49-c16d-1d44e09e5a2a,,poweredOn,toolsOk,172.22.1.2,,Datacenters/CustomerSuccess/vm/Kubeadm,False,False,False,True,,Domain/Project
kubeadm-master,False,[datastore2] kubeadm/kubeadm.vmx,Ubuntu Linux (64-bit),50125b73-42e1-30b2-904d-6749945887c6,4212911b-f403-da57-48a0-c58fad2ede5e,,poweredOn,toolsOk,172.22.1.1,,Datacenters/CustomerSuccess/vm/Kubeadm,False,False,False,True,,Domain/Project
OCp-client,False,[moskdatastore] OCp-client/OCp-client.vmx,Red Hat Enterprise Linux 9 (64-bit),50127f25-8378-25b6-510d-8f4396d665b0,42121246-492d-b139-cb59-5d906202a06b,,poweredOn,toolsOk,172.172.0.42,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
dc10-x7l68-worker-0-jcvgn,False,[moskdatastore] dc10-x7l68-worker-0-jcvgn/dc10-x7l68-worker-0-jcvgn.vmx,Red Hat Enterprise Linux 8 (64-bit),2e45e28f-b363-41a5-8e17-05cd53b6e134,42123cb5-c864-2a38-06d3-f9e40f5642b5,dc10-x7l68-worker-0-jcvgn,poweredOn,toolsOk,10.128.2.2,,Datacenters/Engineering/vm/dc10-x7l68,False,False,True,True,,Domain/Project
dc10-x7l68-worker-0-85bn7,False,[moskdatastore] dc10-x7l68-worker-0-85bn7/dc10-x7l68-worker-0-85bn7.vmx,Red Hat Enterprise Linux 8 (64-bit),893303a1-2035-44b3-ac18-0ee7c52308d9,42125f16-682b-8ce7-c209-38735304e30d,dc10-x7l68-worker-0-85bn7,poweredOn,toolsOk,10.131.0.2,,Datacenters/Engineering/vm/dc10-x7l68,False,False,True,True,,Domain/Project
dc10-x7l68-worker-0-5kz8j,False,[moskdatastore] dc10-x7l68-worker-0-5kz8j/dc10-x7l68-worker-0-5kz8j.vmx,Red Hat Enterprise Linux 8 (64-bit),33f34544-8cd4-426b-a94f-2f9f2ed5416b,4212fd87-02f6-31b0-c745-69ccc79861c7,dc10-x7l68-worker-0-5kz8j,poweredOn,toolsOk,10.129.2.2,,Datacenters/Engineering/vm/dc10-x7l68,False,False,True,True,,Domain/Project
dc10-x7l68-master-1,False,[moskdatastore] dc10-x7l68-master-1/dc10-x7l68-master-1.vmx,Red Hat Enterprise Linux 8 (64-bit),5012d1a2-9ade-e496-3377-88456beac579,42129e9d-745b-279f-685a-bdb9d5d895fa,Created By OpenShift Installer,poweredOn,toolsOk,10.128.0.2,,Datacenters/Engineering/vm/dc10-x7l68,False,False,True,True,,Domain/Project
dc10-x7l68-rhcos-generated-region-generated-zone,True,[moskdatastore] dc10-x7l68-rhcos-generated-region-generated-zone/dc10-x7l68-rhcos-generated-region-generated-zone.vmtx,Red Hat Enterprise Linux 8 (64-bit),5012f310-a6f7-1ac1-5f00-f8e604035829,42128296-4d88-0e18-5c28-b4363824060c,,poweredOff,toolsNotRunning,,,Datacenters/Engineering/vm/dc10-x7l68,False,False,False,True,,Domain/Project
MOSK4,False,[Datastore] MOSK4/MOSK4.vmx,Ubuntu Linux (64-bit),5012b9f8-6456-38db-32fe-a13b6743a15b,42121c86-4397-0194-c833-7914c1fa611c,,poweredOff,toolsNotRunning,,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
MOSK2,False,[Datastore] MOSK2/MOSK2.vmx,Ubuntu Linux (64-bit),5012511c-5082-a646-1fa1-f685512c3826,4212017f-3996-8226-6958-2b58096762ce,,poweredOff,toolsNotRunning,,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
Ubuntu18_Abhijeet_18.1,False,[Datastore 3] Ubuntu18_Abhijeet_18.1/Ubuntu18_Abhijeet_18.1.vmx,Ubuntu Linux (64-bit),50362abc-13b3-edc3-49bf-d1dc6a065ac5,4236cfd1-338d-60f8-9b86-9815bef9f5be,,poweredOn,toolsOk,192.168.18.1,,Datacenters/Engineering/vm,False,False,False,True,,Domain/Project
dc10-x7l68-master-0,False,[moskdatastore] dc10-x7l68-master-0/dc10-x7l68-master-0.vmx,Red Hat Enterprise Linux 8 (64-bit),5012fcb7-b28f-3200-7189-0159e31e0fbc,4212a942-7808-cea1-1cb9-524e8d1fa2b0,Created By OpenShift Installer,poweredOn,toolsOk,10.130.0.2,,Datacenters/Engineering/vm/dc10-x7l68,False,False,True,True,,Domain/Project
MOSK5,False,[Datastore] MOSK5/MOSK5.vmx,Ubuntu Linux (64-bit),5012a4dd-b35b-9927-baf7-e757c6d495ec,4212ba8e-d683-52f0-7bba-568bd6679c39,,poweredOff,toolsNotRunning,,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
Rocky_Zed_Compute_172.25.11.2,False,[Datastore 3] Rocky_Zed_Compute_172.25.11.2/Rocky_Zed_Compute_172.25.11.2.vmx,Other Linux (64-bit),50124668-c3fa-67e2-554f-0b2ac634aa19,42124181-50ea-9fcd-e247-3b87a360bbae,,poweredOn,toolsNotInstalled,,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
KollaantelopeJammy_compute_192.25.99,False,[Datastore 3] Kollaantelope_compute_192.25.99/Kollaantelope_compute_192.25.99.vmx,Ubuntu Linux (64-bit),501243f5-4d5e-8805-cb9c-8a933da3c7e1,4212f401-37cf-c7d8-06b2-0cb2c297b41f,,poweredOn,toolsOk,192.168.25.99,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
Kolla-antelopeRocky-compute,False,[Datastore 3] Kolla-antelope-compute/Kolla-antelope-compute.vmx,Other Linux (64-bit),5012ae29-c83c-3c8e-f410-12a656d2f6e5,421274c4-3969-e446-d150-284f06cb3865,,poweredOn,toolsNotInstalled,,,Datacenters/Engineering/vm,False,False,True,True,,Domain/Project
Abhijeet_jammy_trial,False,[Datastore] Abhijeet_jammy_trial/Abhijeet_jammy_trial.vmx,Ubuntu Linux (64-bit),5012935d-332b-16bf-1a83-7109b0d7bf11,42124ec6-5b78-0c04-c358-60cb9947adba,,poweredOff,toolsNotRunning,,,Datacenters/Engineering/vm/Mirantis,False,False,True,True,,Domain/Project
Kolla-antelopeRockyController_25.91,False,[Datastore] Kolla-antelopeRockyController_25.91/Kolla-antelopeRockyController_25.91.vmx,Other Linux (64-bit),50121d75-f4b9-a680-da1c-e72bdaa0ff85,42121279-5c90-d431-d889-a01bf3347573,,poweredOn,toolsNotInstalled,,,Datacenters/Engineering/vm,False,False,False,True,,Domain/Project
RK_Linux_15.50,False,[Datastore] RK_Linux_15.50/RK_Linux_15.50.vmx,Red Hat Enterprise Linux 7 (64-bit),523d45de-c58c-b620-5feb-49a067ccd9e0,564dadd4-5799-297f-e29b-f435347df508,,poweredOn,toolsOk,192.168.15.50,,Datacenters/Engineering/vm,False,False,False,True,,Domain/Project
ubuntuamd,True,[Datastore 3] ubuntuamd/ubuntuamd.vmtx,Ubuntu Linux (64-bit),50128422-5b8c-c8aa-68d8-23bb2b6a6c86,4212fa77-e304-5e1a-cb06-708359368b27,,poweredOff,toolsNotRunning,,,Datacenters/Engineering/vm,False,False,False,True,,Domain/Project
